Energy (eV),Flux (n cm^-2 s^-1)
0.110196722,3.42E+11
0.121433175,3.90E+11
0.131972039,4.51E+11
0.145428861,5.35E+11
0.162496261,6.35E+11
0.186674217,8.05E+11
0.200080525,9.18E+11
0.22048218,1.09E+12
0.249798808,1.26E+12
0.271478187,1.51E+12
0.303338623,1.80E+12
0.338938171,2.22E+12
0.384005416,2.70E+12
0.423161379,3.16E+12
0.499798767,3.38E+12
0.623994444,3.61E+12
0.78993319,3.70E+12
0.972639286,3.85E+12
1.265929845,4.01E+12
1.647659512,4.17E+12
2.114955358,4.45E+12
2.677385108,4.45E+12
3.436723387,4.45E+12
4.350650703,4.52E+12
5.401696226,4.62E+12
6.781492741,4.79E+12
8.561113027,5.00E+12
10.86787359,5.13E+12
13.41871463,5.24E+12
17.22442179,5.30E+12
21.03253416,5.41E+12
26.11364786,5.44E+12
31.1871654,5.55E+12
38.50722674,5.61E+12
49.42833451,5.67E+12
65.23158105,5.82E+12
78.77446614,5.92E+12
99.44674713,5.98E+12
121.4331748,6.01E+12
150.7694927,6.07E+12
181.063642,6.04E+12
232.4154457,6.17E+12
279.1149716,6.17E+12
340.8240772,6.33E+12
398.1073728,6.37E+12
454.8114596,6.50E+12
570.9876654,6.68E+12
689.531785,6.82E+12
870.4804787,7.07E+12
1092.834417,7.23E+12
1395.013188,7.50E+12
1770.895134,7.86E+12
2023.131084,7.99E+12
2470.422066,7.07E+12
3224.288409,7.82E+12
3981.073728,8.46E+12
5401.698513,8.42E+12
6781.492741,8.55E+12
8949.674265,9.25E+12
10807.74677,8.87E+12
14263.20381,9.55E+12
18823.44094,1.03E+13
22356.17962,1.12E+13
24704.22066,1.42E+13
25969.15137,1.14E+13
32422.26118,1.15E+13
37871.56507,1.23E+13
47809.91799,1.30E+13
55845.47019,1.38E+13
64511.73191,1.43E+13
71287.25649,1.61E+13
84666.35113,1.53E+13
103960.3574,1.67E+13
120093.2266,1.81E+13
137961.9987,2.10E+13
167531.6349,2.09E+13
198697.6685,2.23E+13
236316.4619,2.40E+13
269601.8646,2.65E+13
292999.8985,2.10E+13
343672.3387,2.92E+13
438092.9507,3.10E+13
513858.2973,3.27E+13
602726.7713,2.68E+13
641547.6458,2.15E+13
668807.6081,3.14E+13
800966.6946,3.12E+13
926547.0334,3.00E+13
1079276.026,2.81E+13
1301540.934,2.60E+13
1495198.302,2.55E+13
1803117.782,2.37E+13
1986976.685,2.04E+13
2251176.977,1.80E+13
2550506.919,1.50E+13
2791149.716,1.19E+13
3484726.313,1.13E+13
4202366.985,1.10E+13
5067797.782,1.05E+13
5662549.979,9.43E+12
6550358.36,7.89E+12
7577362.639,9.49E+12
8525559.537,8.65E+12
9265470.334,1.09E+13
9726392.86,1.30E+13
10210244.56,1.51E+13
11567859.68,1.24E+13
12059388.91,1.56E+13
12312931,1.91E+13
12571803.68,2.34E+13
12659298.45,3.33E+13
12836119.01,6.35E+13
13015409.34,7.74E+13
13197203.93,1.17E+14
13381537.77,1.98E+14
13662877.32,3.61E+14
14243425.81,4.09E+14
14542886.09,2.38E+14
14746015.93,1.89E+14
14848642.36,4.82E+13
15056042.89,3.54E+13
15160826.98,2.53E+13
15266340.33,6.31E+12
15479575.12,1.53E+12
15805024.77,8.48E+11
16137316.81,3.68E+11
